--------- beginning of main
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02           android.widget.FrameLayout id=status_bar_end_side_container_for_fake vis=0 329x90 @859,38
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02             com.oplus.systemui.statusbar.widget.EndSideContentLayout id=status_bar_end_side_content vis=0 329x90 @859,38
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02               android.widget.LinearLayout id=system_icons vis=0 329x61 @859,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                 com.android.systemui.statusbar.phone.StatusIconContainer id=statusIcons vis=0 246x61 @859,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.android.systemui.statusbar.pipeline.shared.ui.view.SingleBindableStatusBarIconView id=- vis=0 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                     android.widget.ImageView id=icon_view vis=4 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                     com.android.systemui.statusbar.StatusBarIconView id=status_bar_dot vis=4 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=0 54x61 @859,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.phone.signal.widget.OplusModernStatusBarWifiView id=wifi_combo vis=0 70x61 @913,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                     com.android.keyguard.AlphaOptimizedLinearLayout id=wifi_group vis=0 70x61 @913,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=inout_container vis=8 0x0 @913,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=wifi_in vis=8 0x0 @913,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=wifi_out vis=8 0x0 @913,52
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=wifi_combo vis=0 70x48 @913,58
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                         com.android.systemui.statusbar.AlphaOptimizedImageView id=wifi_signal vis=0 67x48 @916,58
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                         com.android.systemui.statusbar.AlphaOptimizedImageView id=wifi_inout vis=0 61x48 @922,58
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                         com.android.systemui.statusbar.AlphaOptimizedImageView id=wifi_left vis=0 70x48 @913,58
09-20 22:42:39.938 25549 25549 I DuoSB   : P-02                       android.view.View id=wifi_signal_spacer vis=8 0x0 @913,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.view.ViewStub id=connected_device_signals_stub vis=8 0x0 @913,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.view.View id=wifi_airplane_spacer vis=8 0x0 @913,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     com.android.systemui.statusbar.StatusBarIconView id=status_bar_dot vis=8 61x61 @913,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.widget.StatIconView id=- vis=8 0x0 @859,82
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.phone.signal.widget.OplusModernStatusBarMobileView id=mobile_combo vis=0 61x61 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     com.android.keyguard.AlphaOptimizedLinearLayout id=mobile_group vis=0 57x61 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.ImageView id=mobile_volte vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=inout_container vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_in vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_out vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.Space id=mobile_roaming_space vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.ImageView id=mobile_roaming_large vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=mobile_combo_real vis=0 57x61 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         com.android.systemui.statusbar.AnimatedImageView id=mobile_signal vis=0 57x48 @983,58
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_type vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_roaming vis=8 0x0 @983,52
